"","date","RAAPL","RM.RF","SMB","HML","RF","RAAPL.RF"
"256",1982-01-06,-0.0120475581139473,-0.81,-0.06,0.72,0.04,-0.0520475581139473
"257",1982-01-07,-0.0820711693343344,-0.27,0.25,0.08,0.04,-0.122071169334334
"258",1982-01-08,0.0450323566532464,0.46,0,0.07,0.04,0.0050323566532464
"259",1982-01-11,-0.0649653846890044,-2.33,0.23,1.77,0.04,-0.104965384689004
"260",1982-01-12,-0.0341309183695323,-0.55,-0.36,0.13,0.04,-0.0741309183695323
"261",1982-01-13,-0.00696823419497932,-1.28,0.41,0.33,0.04,-0.0469682341949793
"262",1982-01-14,0.0477877398188236,0.48,-0.39,-0.4,0.04,0.0077877398188236
"263",1982-01-15,0.0645459878082202,0.6,0.13,-0.8,0.04,0.0245459878082202
"264",1982-01-18,0.0185751487663124,0.58,-0.55,-0.53,0.04,-0.0214248512336876
"265",1982-01-19,-0.0248443391398401,-0.95,0.5,0.79,0.04,-0.0648443391398401
"266",1982-01-20,0.0186908807447658,-0.61,0.22,0.56,0.04,-0.0213091192552342
"267",1982-01-21,0.0183479319363222,0.3,-0.32,0.04,0.04,-0.0216520680636778
"268",1982-01-22,0.00604192190431587,-0.38,0.01,0.61,0.04,-0.0339580780956841
"269",1982-01-25,-0.0305814118512961,-0.4,-0.93,0.32,0.04,-0.0705814118512961
"270",1982-01-26,-0.0379766629425112,-0.17,-0.04,0.08,0.04,-0.0779766629425112
"271",1982-01-27,0.00643044566756601,0.35,-0.37,-0.24,0.04,-0.033569554332434
"272",1982-01-28,0.0315462172749452,2.53,-0.72,-1.72,0.04,-0.0084537827250548
"273",1982-01-29,0.0123450164057321,1.12,0.02,-0.74,0.04,-0.0276549835942679
"274",1982-02-01,-0.0123450164057322,-1.79,0.95,0.8,0.048,-0.0603450164057322
"275",1982-02-02,0.00619155801065804,0.27,0.01,-0.17,0.048,-0.041808441989342
"276",1982-02-03,0,-0.93,0.79,0.55,0.048,-0.048
"277",1982-02-04,-0.0249996219482707,-0.2,-0.02,0.23,0.048,-0.0729996219482707
"278",1982-02-05,0,0.76,-0.11,-0.08,0.048,-0.048
"279",1982-02-08,-0.0653902693530028,-2.16,0.27,1.61,0.048,-0.113390269353003
"280",1982-02-09,0,-0.94,-0.34,0.93,0.048,-0.048
"281",1982-02-10,0.0134222131218153,0.61,-0.47,-0.13,0.048,-0.0345777868781847
"282",1982-02-11,-0.0134222131218152,-0.14,-0.21,0.45,0.048,-0.0614222131218152
"283",1982-02-12,0.0134222131218153,-0.07,0.15,-0.09,0.048,-0.0345777868781847
"284",1982-02-16,-0.0202014882654421,-0.46,-0.32,0.11,0.048,-0.0682014882654421
"285",1982-02-17,0.0135129010111302,-0.19,0.45,-0.36,0.048,-0.0344870989888698
"286",1982-02-18,0.0133327343862256,0.06,-0.06,-0.43,0.048,-0.0346672656137744
"287",1982-02-19,-0.00664414713191361,-0.47,-0.07,0.44,0.048,-0.0546441471319136
"288",1982-02-22,-0.0134222131218152,-1.25,0.41,1.6,0.048,-0.0614222131218152
"289",1982-02-23,-0.0136048227307802,-0.22,-0.65,0.98,0.048,-0.0616048227307802
"290",1982-02-24,0.00682554758715329,1.4,-0.97,-0.29,0.048,-0.0411744524128467
"291",1982-02-25,-0.00682554758715343,-0.04,0.64,-0.31,0.048,-0.0548255475871534
"292",1982-02-26,0,-0.16,-0.02,0.43,0.048,-0.048
"293",1982-03-01,0.00682554758715329,0.24,-0.05,0.31,0.042,-0.0351744524128467
"294",1982-03-02,0,-0.38,0.3,1.1,0.042,-0.042
"295",1982-03-03,0,-1.52,-0.07,1.98,0.042,-0.042
"296",1982-03-04,-0.0206180173584022,-1.08,-0.14,1.41,0.042,-0.0626180173584022
"297",1982-03-05,-0.0794590251595094,-0.69,-0.59,1.7,0.042,-0.121459025159509
"298",1982-03-08,-0.0151507764990833,-1.61,-0.2,2.11,0.042,-0.0571507764990833
"299",1982-03-09,0.00760408122867738,0.7,-1.32,-0.61,0.042,-0.0343959187713226
"300",1982-03-10,-0.0152664278463401,0.5,0.12,-0.46,0.042,-0.0572664278463401
"301",1982-03-11,0,-0.12,-0.07,0.3,0.042,-0.042
"302",1982-03-12,-0.0635235747025298,-0.8,-0.02,0.56,0.042,-0.10552357470253
"303",1982-03-15,-0.0082300135630253,0.49,-0.61,-0.98,0.042,-0.0502300135630253
