HDI_group;Country;HDI;LifExp;Educ;GNIpc;Pop;PopUrbRat;PopL5;PopB1564;PopG65;DepRatB014;DepRatG65;FertRat;EmpRat;LFPRat;EmpAgrRat;EmpServRat;UnempRat;UnempRatB1524;NINIsRatB1524;HiSkLoSkEmpRat
2;Zambia;0.5915;63.5100;7.1042;3581.8866;17.3517;43.5000;2.8689;9.1902;0.3643;84.8430;3.9640;4.6555;69.8000;75.2000;53.9000;35.4000;7.2000;16.1000;43.5300;0.8252
2;Equatorial Guinea;0.5884;58.4020;5.5509;17795.5416;1.3090;72.1000;0.1906;0.7910;0.0322;61.4250;4.0680;4.5543;56.4000;62.1000;41.4000;42.1000;9.2000;18.6000;;
2;Myanmar;0.5843;66.8670;4.9534;5763.9438;53.7083;30.6000;4.5177;36.4380;3.1068;38.8700;8.5260;2.1700;61.1000;62.0000;50.1000;33.9000;1.6000;3.9000;17.3900;0.2385
2;Cambodia;0.5815;69.5700;4.8440;3597.3964;16.2498;23.4000;1.7741;10.4372;0.7424;48.5780;7.1130;2.5238;80.3000;81.1000;30.4000;42.7000;1.1000;1.3000;0.0600;0.4532
2;Kenya;0.5786;66.3420;6.5640;3051.6899;51.3926;27.0000;6.9930;29.7453;1.2022;68.7340;4.0420;3.5200;60.1000;66.3000;57.5000;35.0000;9.3000;18.5000;;
2;Nepal;0.5795;70.4780;4.8560;2748.2004;28.0957;19.7000;2.7212;17.9414;1.6092;47.6280;8.9690;1.9340;81.9000;83.0000;70.1000;17.0000;1.3000;2.1000;35.3500;0.6803
2;Angola;0.5745;60.7820;5.1255;5554.6974;30.8098;65.5000;5.5525;15.7052;0.6829;91.8280;4.3480;5.5500;72.0000;77.7000;49.1000;42.7000;7.3000;17.1000;2.5600;1.4857
2;Cameroon;0.5627;58.9210;6.2917;3291.1279;25.2163;56.4000;4.0030;13.7781;0.6881;78.0230;4.9940;4.6030;73.7000;76.3000;46.3000;39.6000;3.4000;5.8000;17.0100;1.7076
2;Zimbabwe;0.5631;61.1950;8.3422;2661.0721;14.4388;32.2000;2.1964;7.8922;0.4244;77.5730;5.3780;3.6255;79.4000;83.6000;67.2000;25.6000;4.9000;8.2000;48.4700;0.5175
2;Pakistan;0.5604;67.1140;5.1589;5190.0794;212.2283;36.7000;27.2909;128.2228;9.1529;58.3770;7.1380;3.5500;51.7000;53.3000;41.7000;34.7000;3.0000;6.0000;30.9600;0.7239
2;Solomon Islands;0.5573;72.8350;5.5407;2026.7247;0.6529;23.7000;0.1007;0.3666;0.0235;71.6560;6.4080;4.4350;70.1000;71.4000;61.4000;29.6000;1.8000;4.5000;2.2600;5.0909
1;Syrian Arab Republic;0.5489;71.7790;5.1000;2725.1893;16.9451;54.2000;1.7967;10.8576;0.7631;49.0380;7.0280;2.8398;37.8000;41.2000;14.7000;56.4000;8.1000;19.5000;;1.6401
1;Papua New Guinea;0.5431;64.2630;4.6200;3685.7990;8.6063;13.2000;1.0837;5.2274;0.2965;58.9670;5.6720;3.5883;45.7000;46.8000;67.7000;27.4000;2.4000;4.3000;;0.2524
1;Comoros;0.5378;64.1180;4.9085;2426.3858;0.8323;29.0000;0.1216;0.4782;0.0250;68.8170;5.2340;4.2365;42.5000;44.1000;56.9000;29.1000;3.7000;8.5000;;
1;Rwanda;0.5360;68.7000;4.4172;1958.6119;12.3020;17.2000;1.8009;7.0227;0.3615;70.0270;5.1470;4.1000;83.1000;83.9000;66.6000;24.6000;1.0000;1.6000;30.7900;0.1480
1;Nigeria;0.5341;54.3320;6.4619;5085.5403;195.8747;50.3000;32.9172;104.5696;5.3814;82.1690;5.1460;5.4168;51.9000;55.2000;36.6000;51.8000;6.0000;19.7000;21.3600;6.6782
1;Tanzania;0.5283;65.0150;6.0080;2805.1161;56.3134;33.8000;9.3161;30.0153;1.4649;82.7350;4.8800;4.9237;81.6000;83.2000;66.4000;26.6000;1.9000;3.5000;14.9300;0.3190
