Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1932-06-30,4.77,0.66,0.51,13.6,3.525833333333334,91.35567132352942,12.64040735294118,9.767587500000003,5.565059371528964
1932-05-31,5.51,0.6867,0.5267,13.7,3.5566666666666666,104.75797007299272,13.055770970802923,10.013797248175184,6.390857289881442
1932-04-30,6.28,0.7133,0.5433,13.9,3.5875000000000004,117.67951942446047,13.36636961870504,10.180777532374103,7.1922331961154855
1932-03-31,8.26,0.74,0.56,14.0,3.6183333333333336,153.67671,13.767647142857145,10.418760000000004,9.413065028012209
1932-02-29,8.23,0.7667,0.5767,14.1,3.649166666666667,152.03261489361705,14.163232787234046,10.653366829787236,9.336932251008403
1932-01-31,8.3,0.7933,0.5933,14.3,3.68,151.18130769230774,14.449654384615387,10.80673130769231,9.312406455177843
1931-12-31,8.44,0.82,0.61,14.6,3.651666666666667,150.57249041095892,14.62908082191781,10.88260890410959,9.306032867968314
1931-11-30,10.39,0.8333,0.64,14.7,3.6233333333333335,184.10019795918373,14.765225693877555,11.340146938775513,11.415600295644674
1931-10-31,10.25,0.8467,0.67,14.9,3.595,179.18169463087253,14.801282033557051,11.712364429530204,11.14592640766093
1931-09-30,11.83,0.86,0.7,15.0,3.566666666666667,205.42321800000002,14.933556000000003,12.155220000000002,12.81774526110688
1931-08-31,13.9,0.8733,0.73,15.1,3.5383333333333336,239.76947682119211,15.064077993377486,12.592209933774837,15.006276602886542
1931-07-31,14.33,0.8867,0.76,15.1,3.51,247.18680596026493,15.295222668874176,13.109698013245037,15.516750095516315
1931-06-30,13.87,0.9,0.79,15.1,3.4816666666666665,239.2519887417219,15.524642384105965,13.627186092715236,15.062476074643245
1931-05-31,14.33,0.9133,0.82,15.3,3.453333333333333,243.95560588235296,15.548126647058826,13.959776470588237,15.401539999110108
1931-04-30,15.86,0.9267,0.85,15.5,3.425,266.5186025806452,15.572685309677421,14.283783870967744,16.872315331609663
1931-03-31,17.53,0.94,0.88,15.6,3.3966666666666665,292.6936903846154,15.694926923076924,14.69312307692308,18.57956103279128
1931-02-28,17.2,0.9533,0.91,15.7,3.3683333333333327,285.3545732484077,15.815611318471342,15.097247770700642,18.161492436976083
1931-01-31,15.98,0.9667,0.94,15.9,3.34,261.77953584905663,15.836187566037738,15.398796226415095,16.705478731547608
1930-12-31,15.51,0.98,0.97,16.1,3.3358333333333325,250.92386273291928,15.854634782608697,15.692852795031056,16.055001856531316
1930-11-30,16.62,0.9792,1.023,16.4,3.3316666666666666,263.9630963414635,15.551905170731711,16.24754798780488,16.939711377775158
1930-10-31,17.92,0.9783,1.077,16.5,3.3275,282.8851200000001,15.443443800000002,17.001522,18.21487015465862
1930-09-30,20.78,0.9775,1.13,16.6,3.3233333333333333,326.0569771084338,15.337858283132533,17.730721084337347,21.072581788447305
1930-08-31,20.79,0.9767,1.183,16.5,3.319166666666667,328.19094,15.418186200000005,18.674838000000005,21.300602241118142
1930-07-31,21.06,0.9758,1.237,16.6,3.3150000000000004,330.45043012048194,15.311183746987954,19.40964777108434,21.548797592546638
1930-06-30,21.52,0.975,1.29,16.8,3.310833333333333,333.6483857142858,15.116504464285716,20.000298214285717,21.86689933338948
1930-05-31,23.94,0.9742,1.343,16.9,3.3066666666666666,368.9720627218936,15.01472779881657,20.698808698224855,24.30976063390817
1930-04-30,25.46,0.9733,1.397,17.0,3.3024999999999998,390.09063176470596,14.912616335294121,21.404423117647063,25.843436862018304
